taxon;age;details;formal_substage_or_regional_stage;species;notes;max;min;midpoint;locality;stratigraphy;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dapedium_stollorum;Toarcian;early Toarcian;;Tenuicostatum/Falcifer/Bifrons c zones;;184	2;179	9;182	05;Holzmaden	 Baden Württemberg	 southern Germany;Posidonia Shale ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dialipina_salguerioensis;Emsian;;;;;410	5;394	3;402	4;Anderson River	 Northwest Territories	 Canada;lower part of Bear Rock Formation;;;;;;;; ;;;;;;;;;;;;;;;;;;;;
Dicksonosteus_arcticus;Pragian;Pragian faunal division of Wood Bay;;;;412	4;410	5;411	45;Gronhorgland	 Dicksonland	 Spitsberg;Wood Bay Formation;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diplocercides_kayseri;Famennian;"Wietrznia: Frasnian Zone II; early Famennian";;Early Palmatolepis rhomboidea conodont zone ;;368	3;368	6;368	45;Kadzielnia and Wietrznia Quarries	 Holy Cross Mountains	 Kielce	 Poland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dipteronotus_ornatus;Anisian;Illyrian;;;;243	3;241	5;242	4;Monte San Giorgio	 Switzerland;Besano Member;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Discoserra_pectinodon;Serpukhovian;late Serpukhovian;;;;326;325;325	5;southwest of Becket	 Fergus County	 Montana;Bear Gulch Limestone member of the Heath Formation	 Big Snowy Group;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Donnrosenia_schaefferi;Givetian ;;;;;385	3;378	9;382	1;southern Victoria Land	 Antarctica ;Aztec Siltstone;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dorsetichthys_bechei;Sinemurian;lower Sinemurian;Lower Sinemurian;;;199	5;196	4;197	95;Lyme Regis	 Dorset	 England;Lower Lias;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ebenaqua_ritchei;Callovian;;Changhsingian;;;254	2;251	9;253	05;Clinker Hill	 Blackwater	 Central Queensland	 Australia;Rangal Coal Measures	 Blackwater Group;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Elops_hawaiensis;Holocene;;;;;0;0;0;n/a;n/a;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Entelognathus_primordialis;Ludlow;late Ludlow;;Ozarkodina snajdri conodont zone;;423	8;423	1;423	45;Xiaoxiang Reservoir	 Qujing	 Yunnan	 China ;Kuanti Formation ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eomesodon_liassicus;Hettangian;;;;;201	4;199	5;200	45;Barrow-on-Soar	 Leicestershire	 England;Lower Lias;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Erpetoichthys_calabaricus;Holocene;;;;;0;0;0;n/a;n/a;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eusthenopteron_foordi;Frasnian;Middle Frasnian;;transitans-hassi (hassi equiv = Ag. triangularis) conodont zones;;;;;River Ristigouche	 Quebec	 Canada;Escuminac Formation;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Evenkia_eunoptera;Induan;;;;;251	9;249	9;250	9;Lower Tunguska River	 Yenisey Basin	 Russia;Tunguska Coal Basin;;;;;;;;;;;;;;;;;;;;;;;;;;;;
