Iteration	Posterior	Likelihood	Prior	alpha_morpho	branch_rates	diversification	extinction_rate	fossil_samp_rate	num_samp_anc	origin_time	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	speciation_rate	turnover
550	-11232.76	-9518.953	-1713.81	155217.7	0.002278765	0.007589838	0.03959737	0.02880006	8	495.7602	0.996775	0.999174	1.00082	1.00323	0.04718721	0.8391548
560	-11225.23	-9501.857	-1723.372	13284.67	0.002338091	0.005369198	0.04223886	0.02627026	7	494.6322	0.988993	0.997162	1.0028	1.01105	0.04760806	0.8872208
570	-11220.3	-9505.645	-1714.657	27612.38	0.002320257	0.0001755547	0.04097729	0.02718843	8	494.9573	0.992361	0.998036	1.00194	1.00766	0.04115285	0.9957341
580	-11233.05	-9512.718	-1720.333	33578.25	0.002227277	-0.0002600982	0.04582964	0.02788471	7	495.3268	0.993072	0.99822	1.00176	1.00695	0.04556954	1.005708
590	-11222.34	-9499.545	-1722.795	886364.8	0.002275238	0.005794736	0.04760632	0.02259948	8	495.8002	0.99865	0.999655	1.00034	1.00135	0.05340105	0.8914865
600	-11229.05	-9491.607	-1737.446	981395.5	0.002180384	0.002005792	0.04087143	0.02530844	6	496.4895	0.998717	0.999672	1.00033	1.00128	0.04287722	0.9532201
610	-11222.64	-9485.883	-1736.761	912908	0.002180101	0.005643268	0.04096206	0.02475459	6	496.9089	0.99867	0.99966	1.00034	1.00133	0.04660532	0.8789137
620	-11223.47	-9483.261	-1740.206	641188.7	0.00211324	0.00547615	0.04028923	0.02647002	5	497.1991	0.998413	0.999594	1.00041	1.00159	0.04576538	0.880343
630	-11209.7	-9477.769	-1731.93	736819.8	0.002232052	0.00452869	0.03651701	0.02815882	6	497.845	0.99852	0.999621	1.00038	1.00148	0.0410457	0.8896671
640	-11214.36	-9482.251	-1732.113	866587	0.002266431	0.005517933	0.03571332	0.02740225	6	497.8733	0.998635	0.999651	1.00035	1.00137	0.04123125	0.8661711
650	-11212.06	-9484.151	-1727.907	924545.7	0.002289042	-0.002630157	0.0458544	0.03195895	7	498.1962	0.998678	0.999662	1.00034	1.00132	0.04322424	1.060849
660	-11213.63	-9480.777	-1732.857	496753.3	0.002160042	0.003816867	0.03652967	0.02745427	5	497.8281	0.998197	0.999539	1.00046	1.0018	0.04034654	0.9053979
670	-11211.38	-9481.695	-1729.684	655808	0.002240704	-0.0008220182	0.03901552	0.02848527	6	498.9292	0.998431	0.999599	1.0004	1.00157	0.0381935	1.021522
